Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,links,Image,description,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group
Russell Terrier,5,3,5,3,2,1,Wiry,Short,5,5,4,4,3,5,4,5,https://www.akc.org/dog-breeds/russell-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Russell-Terrier-illustration.jpg,"These jaunty little fellows pack lots of personality into a compact, rectangular body standing 10 to 12 inches at the shoulder. Their dark, almond-shaped eyes and mobile V-shaped ears bring out the keenly intelligent expression—an endearing hallmark of the breed. All three coat types are mostly white with markings that are tan or black, or both. Russells move with a free, effortless gait that announces the breed’s innate confidence. Upbeat, lively, inquisitive, and friendly, the jaunty Russell Terrier was developed by England's ""Sporting Parson"" for use in foxhunts. The adorable Russell Terrier looks like a plush toy come to life but is an eager, tireless working terrier.",25.4,30.48,4.082331330000001,6.80388555,12.0,14.0,Terrier Group
Cairn Terrier,4,3,3,2,2,1,Wiry,Medium,3,4,4,3,3,3,4,3,https://www.akc.org/dog-breeds/cairn-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Cairn-Terrier-Illo-2.jpg,"The Cairn’s unique qualities, called “Cairnishness,” include a short, wide head and a free-moving, short-legged body that exudes strength but not heaviness, topping out at about 10 inches high and about 15 inches long. The double coat is harsh and wiry on top and downy beneath. A Cairn presents as a small, shaggy, alert dog, with head, tail, and ears up, and eyes shining with intelligence.A British breed club promotes Cairns as the “best little pal in the world.” Cairns are small enough for a lap-top snuggle and sturdy enough for a good romp on the lawn. They do best with lots of close family contact. For owners who cherish the terrier qualities of gameness, independent thinking, and true-blue loyalty, no other breed will do. Cairn Terriers are happy, busy little earthdogs originally bred to fearlessly root out foxes and other small, furred prey in the rocky Scottish countryside. Curious and alert, Cairns like having a place where they can explore and dig.",24.13,25.4,5.8967008100000005,6.35029318,13.0,15.0,Terrier Group
Irish Wolfhound,5,3,4,3,2,2,Wiry,Medium,3,3,5,3,3,3,1,3,https://www.akc.org/dog-breeds/irish-wolfhound/,https://www.akc.org/wp-content/uploads/2017/11/Irish-Wolfhound-Illo-2.jpg,"The amiable Irish Wolfhound is an immense, muscular hound gracefully built along classic Greyhound lines, capable of great speed at the gallop. A male might stand nearly 3 feet at the shoulder and weigh up to 180 pounds. Females will run smaller but are still a whole lot of hound. The rough, hard coat comes in many colors, including white, gray, brindle, red, black, and fawn.IWs are too serene to be fierce guard dogs, but just the sight of them is enough to deter intruders. IWs are characteristically patient with kids, though animals their size should be supervised around small children. Owning an Irish Wolfhound is a unique, rewarding experience—but acquiring a giant galloping hound is a commitment as big as the dog itself. The calm, dignified, and kindly Irish Wolfhound is the tallest of all AKC breeds. Once fearless big-game hunters capable of dispatching a wolf in single combat, Wolfhounds today are the most serene and agreeable of companions.",76.2,81.28,47.62719885,54.4310844,6.0,8.0,Hound Group
Greater Swiss Mountain Dog,5,5,3,3,2,3,Smooth,Short,5,4,4,3,4,4,3,4,https://www.akc.org/dog-breeds/greater-swiss-mountain-dog/,https://www.akc.org/wp-content/uploads/2017/11/Greater-Swiss-Mountain-Dog-Illo-2.jpg,"“Greater” than what? Well, standing as high as 28.5 inches and weighing as much as a midsize human, a Greater Swiss might easily be greater than you.Swissies are immensely strong, yet agile enough to move a flock across the sloping foot of a mountain. The coat is a striking tricolor—black, red, and white. The head and muzzle typically have a white marking (the “blaze”), setting off a sweet expression. Several big mountain-dog breeds are described as “majestic,” but Swissies practically invented the word. The Greater Swiss Mountain Dog is a large, immensely strong worker famous for a dense coat of striking black, red, and white markings. Dependable and faithful Swissies earned their feed as herders, drafters, and all-around pasture dogs.",59.69,72.39,38.55535145,63.502931800000006,8.0,11.0,Working Group
Miniature Pinscher,5,3,4,3,1,1,Smooth,Short,3,4,5,4,3,5,5,5,https://www.akc.org/dog-breeds/miniature-pinscher/,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Pinscher-Illo-2.jpg,"Min Pins are sturdy, compact dogs standing no more than 12.5 inches at the shoulder. The smooth, shiny coat comes in two shades of solid red, or chocolate-and-rust or black-and-rust. The dark, slightly oval eyes and high-set ears help bring out a self-possessed, “big dog” personality. A distinguishing characteristic is the Min Pin’s high-stepping “hackney” gait, reminiscent of a hackney horse at the trot. The leggy Miniature Pinscher is known to fans as the “King of Toys.” This proud, fearless, fun-loving toy breed of lustrous coat and a compact, wedge-shaped physique is a true personality dog, known for a high-stepping “hackney” gait.",25.4,31.75,3.62873896,4.535923700000001,12.0,16.0,Toy Group
Lhasa Apso,5,3,3,1,3,1,Silky,Long,3,3,5,5,3,3,3,3,https://www.akc.org/dog-breeds/lhasa-apso/,https://www.akc.org/wp-content/uploads/2017/11/Lhasa-Apso-Illo-2.jpg,"Standing less than a foot high at the shoulder, Lhasas are small but hardy dogs of aristocratic bearing. They’re famous for a floor-length, flat-hanging coat, parted in the middle and draping each side of the body. A feathery tail curls over the back in the distinct manner of Tibetan breeds. The breed’s fans say the dark, oval-shaped eyes—peeping through lavish facial hair—are the windows of a Lhasa’s merry soul. The complete picture is unmistakably Asian: exotic, elegant, and serenely well balanced. The lavishly coated Lhasa Apso is a thousand-year-old breed who served as sentinels at palaces and monasteries isolated high in the Himalayas. Smart, confident, and complex, Lhasas are family comedians but regally aloof with strangers.",25.4,27.94,5.4431084400000005,8.164662660000001,12.0,15.0,Non-Sporting Group
Chinese Crested,4,3,3,1,2,1,Hairless,Short,4,3,3,4,4,3,3,3,https://www.akc.org/dog-breeds/chinese-crested/,https://www.akc.org/wp-content/uploads/2017/11/Chinese-Crested-Illo-2.jpg,"The Chinese Crested, a lively and alert toy breed standing between 11 and 13 inches high, can be hairless or coated. The hairless variety has smooth, soft skin and tufts of hair on the head, tail, and ankles. The coated variety, called the “powderpuff,” is covered by a soft, silky coat. Besides the coat, there’s very little difference between the powderpuff and his undressed brother. Both varieties are characterized by fine-boned elegance and graceful movement.Cresteds are as fun as they look: playful, loving, and devoted to their humans. The hairless has its advantages: there is no doggy odor, and for obvious reasons shedding isn’t much of a problem. Both varieties are attentive housemates, totally in tune with their family. With their spotted pink skin, spiky “crested” hairdo, furry socks and feathery tail, you can’t mistake the sweet and slender Chinese Crested for any other breed. This frolicsome, ultra-affectionate companion dog is truly a breed apart.",27.94,33.02,3.62873896,5.4431084400000005,13.0,18.0,Toy Group
Coton de Tulear,5,5,5,2,4,1,Double,Long,5,4,3,4,4,3,1,3,https://www.akc.org/dog-breeds/coton-de-tulear/,https://www.akc.org/wp-content/uploads/2017/11/Coton-de-Tulear-Illo-2.jpg,"The Coton de Tulear (KO-Tone Dih TOO-Lay-ARE) is a small, immensely charming dog standing between 9 and 11 inches high and weighing anywhere from 8 to 13 pounds. Cotons are known for a profuse white coat that is as soft as cotton (or, as the French say, “coton”). Their primary job is to provide amusement, comfort, and companionship.The bond between Cotons and their people is so tight that owners discuss it in human terms. Coton fanciers describe them as “witty” companions “at times boisterous but never demanding” and “naturally clownish and lighthearted,” who possess a “remarkably gentle, sympathetic awareness.” Amusing traits of these long-lived jesters include unique vocalizations and a knack for walking on their hind legs. The Coton de Tulear, “Royal Dog of Madagascar,” is a bright, happy-go-lucky companion dog whose favorite activities include clowning, cavorting, and following their special human around the house. The Coton is small but robustly sturdy.",22.86,27.94,3.62873896,6.80388555,15.0,19.0,Non-Sporting Group
Staffordshire Bull Terrier,5,5,3,2,2,3,Smooth,Short,4,4,5,5,5,4,3,4,https://www.akc.org/dog-breeds/staffordshire-bull-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Staffordshire-Bull-Terrier-Illo-2.jpg,"At 14 to 16 inches, Staffordshire Bull Terriers do not stand particularly tall. But, weighing anywhere between 24 to 38 pounds, they pour a gallon of dog into a quart-size container. These are rock-solid, muscular terriers. The head is short and broad, with pronounced cheek muscles, and the tight-fitting coat comes in several colors.Staffordshire Bull Terriers still resemble the pugnacious brawlers who once ruled England’s fighting pits. But today’s responsible breeders are producing sweet-natured, family-oriented dogs with a reputation for being patient with kids. These are true-blue loyal companions, but the old fighting instinct still lurks within—making it vital that pups be socialized with other dogs to learn good canine manners. From his brawling past, the muscular but agile Staffordshire Bull Terrier retains the traits of courage and tenacity. Happily, good breeding transformed this former gladiator into a mild, playful companion with a special feel for kids.",35.56,40.64,10.88621688,17.23651006,12.0,14.0,Terrier Group
American Staffordshire Terrier,5,3,3,2,1,1,Smooth,Short,4,3,5,3,3,3,3,3,https://www.akc.org/dog-breeds/american-staffordshire-terrier/,https://www.akc.org/wp-content/uploads/2017/11/American-Staffordshire-Terrier-illustration.jpg,"AmStaffs are stocky, muscular bull-type terriers standing 17 to 19 inches at the shoulder. The head is broad, the jaws well defined, the cheekbones pronounced, and the dark, round eyes are set wide apart. AmStaff movement is agile and graceful, with a springy gait that advertises the breed’s innate confidence. The stiff, glossy coat comes in many colors and patterns. AmStaffers describe their dogs as keenly aware of their surroundings, game for anything, and lovable “personality dogs” around the house. AmStaffs like mental and physical challenges. They are highly trainable, as their many forays into showbiz suggest. When acquiring an AmStaff, there’s only one way to go: Do your homework and find a responsible AKC breeder. The American Staffordshire Terrier, known to their fans as AmStaffs, are smart, confident, good-natured companions. Their courage is proverbial. A responsibly bred, well-socialized AmStaff is a loyal, trustworthy friend to the end.",43.18,48.26,18.1436948,31.751465900000003,12.0,16.0,Terrier Group
Rat Terrier,5,5,3,3,2,1,Smooth,Short,5,5,4,4,5,4,3,5,https://www.akc.org/dog-breeds/rat-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Rat-Terrier-Illo-2.jpg,"Balanced, compactly built Rat Terriers are tough but elegant-looking. There are two size divisions: Miniatures stand 10 to 13 inches at the shoulder; standards are over 13 inches and as high as 18 inches. The smooth, shiny coat comes in varieties of pied patterns. (Pied, a word borrowed from the horseman’s lexicon, means “comparatively large patches of one or more colors in combination with white.”) These smoothly muscled exterminators are constructed for the efficient movement required for a long day’s work. An American original, with a breed name said to be coined by Teddy Roosevelt, the Rat Terrier is a compact, tough, smooth-coated exterminator dog. RTs come in two size varieties and are happy-go-lucky, playful, and portable companions.",25.4,45.72,4.535923700000001,11.33980925,12.0,18.0,Terrier Group
Chow Chow,4,3,2,3,3,3,Smooth,Medium,2,3,5,3,3,3,1,3,https://www.akc.org/dog-breeds/chow-chow/,https://www.akc.org/wp-content/uploads/2017/11/Chow-Chow-Illo-2.jpg,"Chows are powerful, compactly built dogs standing as high as 20 inches at the shoulder. Their distinctive traits include a lion’s-mane ruff around the head and shoulders; a blue-black tongue; deep-set almond eyes that add to a scowling, snobbish expression; and a stiff-legged gait. Chows can have rough or smooth coats of red, black, blue, cinnamon, or cream.Owners say Chows are the cleanest of dogs: They housebreak easily, have little doggy odor, and are known to be as fastidious as cats. Well-socialized Chows are never fierce or intractable, but always refined and dignified. They are aloof with strangers and eternally loyal to loved ones. Serene and adaptable, with no special exercise needs, Chows happily take to city life. The Chow Chow, an all-purpose dog of ancient China, presents the picture of a muscular, deep-chested aristocrat with an air of inscrutable timelessness. Dignified, serious-minded, and aloof, the Chow Chow is a breed of unique delights.",43.18,50.8,20.41165665,31.751465900000003,8.0,12.0,Non-Sporting Group
Anatolian Shepherd Dog,1,3,3,3,2,1,Smooth,Short,1,3,5,3,2,3,3,3,https://www.akc.org/dog-breeds/anatolian-shepherd-dog/,https://www.akc.org/wp-content/uploads/2017/11/Anatolian-Shepherd-Dog-Illo-2.jpg,"The Anatolian Shepherd Dog stands between 27 and 29 inches at the shoulder and can weigh as much as 150 pounds. Profusely muscled but nimble afoot, Anatolians are more than a match for the predators and harsh terrain of their homeland. Anatolians descend from some of the oldest known domestic-canine bloodlines. This lends the breed a sense of timelessness, a no-frills, untouched quality that takes us back 6,000 years to the Bronze Age.Anatolians are smart, devoted, responsive, and adaptable. They will protect their flock—livestock, children, smaller dogs, even the family cat—with intensity. Anatolian owners must be strong leaders, willing and able to handle a dog as dominating and demanding as he is calm and loving. An Anatolian Shepherd Dog is a rugged, imposing flock guardian of ancient lineage. Protective and territorial, but also intelligent, patient, and profoundly loyal, these muscular avengers are prized as working guard dogs without equal.",68.58,73.66,36.2873896,68.0388555,11.0,13.0,Working Group
Basenji,3,3,3,2,1,1,Smooth,Short,3,3,3,3,2,4,1,4,https://www.akc.org/dog-breeds/basenji/,https://www.akc.org/wp-content/uploads/2017/11/Basenji-Illo-2.jpg,"Basenjis are small, graceful hounds standing 16 or 17 inches at the shoulder. They are recognizable by their glistening short coat, tightly curled tail, and wrinkled forehead and expressive almond-shaped eyes that convey a variety of subtle, humanlike emotions.Basenjis are a lovely sight at a standstill but more impressive yet at a fast trot, when they exhibit the long, smooth strides of a mini-racehorse. And yes, it’s true, they don’t bark, but they make their feelings known with an odd sound described as something between a chortle and a yodel. Basenjis are fastidious and will groom themselves like cats. This has been called a “cult breed”—small in numbers, but those lucky enough to own one do so with singular devotion. The Basenji, Africa’s “Barkless Dog,” is a compact, sweet-faced hunter of intelligence and poise. They are unique and beguiling pets, best for owners who can meet their exercise needs and the challenge of training this catlike canine.",40.64,43.18,9.97903214,10.88621688,13.0,14.0,Hound Group
Brussels Griffon,4,3,3,3,3,1,Wiry,Short,4,4,3,4,4,3,4,3,https://www.akc.org/dog-breeds/brussels-griffon/,https://www.akc.org/wp-content/uploads/2017/11/Brussels-Griffon-Illo-2.jpg,"With this breed, you get a big personality in a 5-to-15-pound package. One look into his big, human-like eyes, and you’ll be smitten. Griffs come in four colors—red, black-and-reddish-brown (called belge), black and tan, and black—and in smooth coats (like a Pug) or rough coats (like a Schnauzer). Their black muzzle and whiskers earned them the nickname “bearded dogs” in old folk songs.The Griff’s big black eyes—described as “almost human”—coupled with a fringed beard and mustache covering his short muzzle, gives him the air of a worldly, French-speaking philosopher. The Griff’s body is thickset and sturdy, and he moves with the purposeful trot of a fellow who knows what he wants.Griffs are alert, sociable, and easily trained. Although playful and energetic, their small size and sensitive nature make them a poor choice as roughhousing playmates for kids. They have a low threshold for loneliness and will stick close to their special human, providing years of love and laughter. Tipping the scales at no more than 12 pounds, this human-like toy of complex character has enough personality for 10 ordinary dogs. A sensitive companion for discerning grownups, the Brussels Griffon is smart, devoted, and comically self-important.",17.78,25.4,3.62873896,4.535923700000001,12.0,15.0,Toy Group
Norwegian Elkhound,5,3,3,3,2,2,Double,Medium,4,4,5,4,4,4,4,4,https://www.akc.org/dog-breeds/norwegian-elkhound/,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Elkhound-Illo-2.jpg,"Norwegian Elkhounds are hardy, short-bodied dogs standing about 20 inches at the shoulder. They have a dense silver-gray coat and a tail curling tightly over the back. The deep chest, sturdy legs, and muscular thighs belong to a dog built for an honest day’s work. The eyes are a dark brown and the ears mobile and erect. Overall, an Elkhound is the picture of an alert and steadfast dog of the north.Elkhounds are famously fine companions and intelligent watchdogs. Agility and herding trials are good outlets for their natural athleticism and eagerness. Reserved until introductions are made, an Elkhound is a trustworthy friend ever after. These strong, confident dogs are truly sensitive souls, with a dash of houndy independence. The Norwegian Elkhound is a robust spitz type known for his lush silver-gray coat and dignified but friendly demeanor. The durable Elkhound is among Europe's oldest dogs. They sailed with the Vikings and figure in Norse art and legend.",49.53,52.07,21.77243376,24.947580350000003,12.0,15.0,Hound Group
Standard Schnauzer,5,5,3,1,3,3,Wiry,Medium,3,4,5,4,5,3,3,5,https://www.akc.org/dog-breeds/standard-schnauzer/,https://www.akc.org/wp-content/uploads/2017/11/Standard-Schnauzer-illustration.jpg,"A medium-sized dog weighing between 35 and 45 pounds, the Standard Schnauzer is truly the standard Schnauzer: larger than Miniatures, smaller than Giants. Schnauzers of all three sizes share several breed hallmarks: a wiry, tight-fitting coat of pure black or “pepper and salt”; a robust, square-built frame; and an elongated head furnished with arched eyebrows and bristly whiskers, framing eyes gleaming with keen intelligence.Standards are sociable companions, alert watchdogs, enthusiastic backyard squirrel chasers, and are good with kids and protective of loved ones. Approached with a firm but gentle hand, Standards train beautifully. Owners must provide outlets for their dog’s upbeat athleticism and highly developed senses. The bold, bewhiskered Standard Schnauzer is a high-spirited farm dog from Germany. They are the sometimes-willful but ever reliable medium-sized members of the Schnauzer family of breeds. The Standard's sporty look is a canine classic.",44.45,49.53,13.6077711,22.6796185,13.0,16.0,Working Group
Dogo Argentino,5,3,3,4,1,3,Smooth,Short,4,4,5,4,5,5,3,4,https://www.akc.org/dog-breeds/dogo-argentino/,https://www.akc.org/wp-content/uploads/2017/11/Dogo-Argentino-illustration.jpg,"The ideal Dogo Argentino is a study in harmony. He is large, powerful, and athletic. His strong head is supported by a thick, but elegant neck that connects to a balanced body, which is sustained by straight, substantial forelegs and very muscular, medium-angulated hindquarters. The Dogo gives the impression of explosive power and energy. Developed to find, chase and catch dangerous game the Dogo must have a good nose, great lung capacity, and a powerful, yet agile, muscular build. His expression is alert and intelligent, with a marked hardness. The Dogo is instantly identifiable by his short, completely white coat. The Dogo Argentino is a pack-hunting dog, bred for the pursuit of big-game such as wild boar and puma, and possesses the strength, intelligence and quick responsiveness of a serious athlete. His short, plain and smooth coat is completely white, but a dark patch near the eye is permitted as long as it doesn't cover more than 10% of the head.",60.96,67.31,39.91612856,45.359237,9.0,15.0,Working Group
Pekingese,5,3,3,3,3,1,Double,Long,3,4,4,4,3,3,1,3,https://www.akc.org/dog-breeds/pekingese/,https://www.akc.org/wp-content/uploads/2017/11/Pekingese-Illo-2.jpg,"Pekingese are compact, stocky toy dogs weighing up to 14 pounds. The coat is longest at the neck and shoulders, giving Pekes their famous “lion’s mane.” Coats come in various reds, from a golden-red to darker shades. The large, short-muzzled head is a wider-than-long “envelope shaped” rectangle, and the eyes are large, dark, and sparkly. A unique feature of Pekes is their effortless “rolling” gait.Pekes are charming, confident companions who develop a tight bond with their favorite human. Bred to live in palaces, they can be as serenely independent as the emperors who owned them. (They’re “opinionated,” Peke people say.) Ever alert, they make good watchdogs. Pekes will tolerate kids but won’t stand for a lot of roughhousing. The Pekingese, a compact toy companion of regal bearing and a distinctive rolling gait, is one of several breeds created for the ruling classes of ancient China. These are sophisticated dogs of undying loyalty and many subtle delights.",15.24,22.86,6.35029318,6.35029318,12.0,14.0,Toy Group
Border Terrier,4,5,3,2,2,1,Wiry,Short,4,4,3,4,4,3,3,3,https://www.akc.org/dog-breeds/border-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Border-Terrier-Illo-2.jpg,"Border Terriers, standing from 11 to 16 inches at the shoulder, are easy to recognize among other small terriers by their unique head shape—the breed has an “otter head,” as fanciers say. Another distinguishing trait is that they are longer in leg than other small terriers. The wire coat can be grizzle and tan, blue and tan, wheaten, or red.Borders are described as “hard as nails” when working, but at home they’re good-tempered, affectionate, and trainable. Borders love exploring outdoors and make fine childhood playmates. Bred to be country dogs, Borders adapt well to city life—as long as they get plenty of exercise. Borders tend to get along with other dogs, but their hunting instincts can be aroused when cats or squirrels cross their path. Admirers of the upbeat and agile Border Terrier cherish their breed’s reputation as a tough, no-frills working terrier. These plucky, happy, and affectionate dogs are popular pets in town and country. The wiry coat is an easy keeper.",30.48,38.1,5.216312255,7.030681735,12.0,15.0,Terrier Group
Leonberger,5,5,3,4,4,3,Double,Long,5,3,4,4,5,3,3,4,https://www.akc.org/dog-breeds/leonberger/,https://www.akc.org/wp-content/uploads/2017/11/Leonberger-illustration.jpg,"A huge and powerful dog, yes, but the Leonberger is also known for his aristocratic grace and elegance. A male can stand over 31 inches at the shoulder and weigh as much as a full-grown human. Females run smaller but are still a whole lot of dog. Breed hallmarks include a medium-long waterproof coat, lush triangular ears, a bushy tail, and a black facemask that frames kindly dark-brown eyes. A dramatic feature of the male’s coat is the lion-like mane around the neck and chest. A well-built Leo moves with an easy, elastic gait. A Leo is friendly but nobody’s fool. As watchdogs and all-around workers, they exhibit intelligence and sound judgment. Leos require lots of brushing, ample room for romping, and unlimited love. The Leonberger is a lush-coated giant of German origin. They have a gentle nature and serene patience and they relish the companionship of the whole family.",64.77,80.01,40.8233133,77.1107029,9.0,9.0,Working Group
Tibetan Terrier,5,3,3,3,3,2,Double,Long,3,3,4,4,3,4,3,4,https://www.akc.org/dog-breeds/tibetan-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Tibetan-Terrier-Illo-2.jpg,"Bearing a passing resemblance to their smaller cousin, the Lhasa Apso, Tibetan Terriers reside at the lower end of medium-sized breeds, standing about 15 inches at the shoulder and weighing between 20 and 24 pounds. A breed hallmark is the beautiful and profuse double coat—wooly underneath, with a long, fine topcoat. TTs are unique among dogs for their large, flat “snowshoe” feet, adapted over centuries to help them negotiate the snowy, mountainous terrain of their homeland. The Tibetan Terrier, “Holy Dog of Tibet,” is an ancient watchdog and companion long associated with Buddhist monasteries. A profusely coated, small-to-medium-sized dog with “snowshoe” feet, the TT is affectionate, sensitive, and clever.",35.56,43.18,8.164662660000001,13.6077711,15.0,16.0,Non-Sporting Group
Neapolitan Mastiff,3,3,3,3,2,5,Smooth,Short,3,2,5,3,3,2,1,3,https://www.akc.org/dog-breeds/neapolitan-mastiff/,https://www.akc.org/wp-content/uploads/2017/11/Neapolitan-Mastiff-Illo-2.jpg,"Unless you’ve been to Jurassic Park, you’ve never seen anything like a Mastino. These majestic guardians of startling appearance are massive, powerful dogs. The U.S. Neapolitan Mastiff Club describes their dog’s head as “astounding”—and give them credit for hitting upon just the right adjective. The profuse hanging wrinkles and folds, and pendulous lips, make a Mastino look like a marzipan Mastiff that’s been out in the sun too long. And yet, the breed’s inner dignity and nobility can only be described as beautiful. The Neapolitan Mastiff is a huge, powerful guarder whose astounding appearance has intimidated intruders since the days of ancient Rome. Wary with strangers, the profusely wrinkled Mastino is sweet, placid, and steady among loved ones.",60.96,78.74,49.895160700000005,68.0388555,7.0,9.0,Working Group
Borzoi,3,3,3,3,2,1,Curly,Medium,3,3,3,3,2,4,2,4,https://www.akc.org/dog-breeds/borzoi/,https://www.akc.org/wp-content/uploads/2017/11/Borzoi-Illo-2.jpg,"Borzoi are large, elegant sighthounds. A mature male stands at least 28 inches at the shoulder and weighs 75 to 105 pounds. Females will be smaller. Beneath the luxurious silky coat, Borzoi construction follows the ancient Greyhound template. Once known as the Russian Wolfhound, Borzoi were bred to be swift and tough enough to pursue and pin their ferocious lupine quarry.In their quiet, catlike way they can be stubborn, and training is best accomplished with patience, consistency, and good humor. Affectionate family dogs, Borzoi are nonetheless a bit too dignified to wholeheartedly enjoy a lot of roughhousing. The sight of a cat or squirrel on the run will quickly stir their pursuit instinct, and fenced-in running room is a must. Among the most impressively beautiful of all dogs, the aristocratic Borzoi is cherished for his calm, agreeable temperament. In full stride, he is a princely package of strength, grace, and glamour flying by at 35 to 40 miles per hour.",66.04,71.12,27.2155422,47.62719885,9.0,14.0,Hound Group
Miniature Bull Terrier,5,3,3,2,1,2,Smooth,Short,3,4,4,4,3,4,5,4,https://www.akc.org/dog-breeds/miniature-bull-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Bull-Terrier-Illo-2.jpg,"In nearly every way the Mini is a Bull Terrier, only smaller. In fact, before 1991 the AKC classified the two Bullys as varieties of the same breed. Minis stand between 10 and 14 inches at the shoulder. They’re square, muscular, and, for their size, quite strong. Their trademark is a large egg-shaped head, with its dark, triangular eyes that twinkle with mischief. It’s impossible to mistake the Bull Terrier breeds for any other. The coat can be pure white, or white with predominate colored markings. In most every way the Miniature Bull Terrier is a Bull Terrier, only smaller. These upbeat, mischievous dogs come equipped with terrier fire and fearlessness. If ever a dog could claim the title “Clown Prince of Dogdom,” it’s the Mini.",25.4,35.56,8.164662660000001,12.70058636,11.0,13.0,Terrier Group
Belgian Tervuren,3,3,3,3,2,1,Double,Medium,3,3,4,3,5,4,3,4,https://www.akc.org/dog-breeds/belgian-tervuren/,https://www.akc.org/wp-content/uploads/2017/11/Belgian-Tervuren-Illo-2.jpg,"The Belgian Tervuren is characterized by a straight and abundant coat, an elegant but muscular frame, a proudly carried head, an alert and intelligent demeanor, and an insatiable work drive. The Tervuren’s coat furnishings, like the sporty “collarette” around the neck, are more profuse on males, who run larger than females.“Their intelligence and high activity level can be a challenge for the less creative individual who may not understand the breed’s need to work,” warns one longtime owner. But don’t get the idea that Tervurens are grim, mechanical worker drones. In fact, this breed takes real delight in their ability to master any task, and owners say a mischievous sense of humor is at work whenever Tervurens outsmart their beloved human. The elegant, agile Belgian Tervuren is a bright and self-assured herding dog of medium size, known to be affectionate and possessive with loved ones. Lots of hard work and challenging play is heaven for this tireless, do-it-all dog.",55.88,66.04,20.41165665,34.01942775,12.0,14.0,Herding Group
Silky Terrier,5,3,3,2,3,1,Silky,Long,4,4,5,4,4,3,4,3,https://www.akc.org/dog-breeds/silky-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Silky-Terrier-Illo.jpg,"Small but not fragile, feisty but not yappy, pretty but not sculpted, Silkys are 10-inch-tall dynamos animated by curiosity and high spirits. The glorious blue-and-tan coat is straight and glossy, and it feels and behaves much like human hair. The wedge-shaped head is topped by profuse hair parted down the middle, and erect V-shaped ears draw attention to the keen, piercing expression of the almond-shaped eyes. Silkys are more refined than typical ratting terriers, but they should still look and behave like a true earthdog. A charming member of the AKC Toy Group, the compact, glossy-coated Silky Terrier is nonetheless a true terrier of energetic high spirits. The Silky, a native of Sydney, Australia, is larger than his close cousin, the Yorkshire Terrier.",22.86,25.4,4.535923700000001,4.535923700000001,13.0,15.0,Toy Group
Norwich Terrier,5,5,3,3,2,1,Wiry,Short,5,4,4,4,3,4,4,4,https://www.akc.org/dog-breeds/norwich-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Norwich-Terrier-illustration.jpg,"Standing no more than 10 inches at the shoulder and weighing about 12 pounds, Norwich are among the smallest working terriers. Beneath the hard, wiry coat is a stocky, substantial dog. Norwiches are toy-sized but are not satin-pillow dogs—they were originally bred as tough and fearless ratters. They are distinguished from their doggy doppelganger, the Norfolk Terrier, by their erect, pointed ears.Happy-go-lucky, fearless, and sometimes even bossy, Norwiches are energetic enough to play fetch all day, but affectionate enough to enjoy hours of lap time with their favorite human. Short, positive training sessions work best with this clever but sometimes stubborn breed. Three words convey the overall dog: cute, cuter, and cutest. Norwich Terriers are plucky little earthdogs named for their hometown in England. The old cliché “a big dog in a small package” was coined for breeds like the Norwich, who can be oblivious to the fact that they are just 10 inches tall.",25.4,25.4,5.4431084400000005,5.4431084400000005,12.0,15.0,Terrier Group
Japanese Chin,5,3,5,3,2,1,Silky,Medium,3,3,3,4,3,3,2,3,https://www.akc.org/dog-breeds/japanese-chin/,https://www.akc.org/wp-content/uploads/2017/11/Japanese-Chin-Illo-3.jpg,"Chin are the unrivaled noblemen of Japanese breeds. They’re tiny “indoorsy” companions, with an unmistakably Eastern look and bearing. The head is large, the muzzle short, and the round, dark eyes convey, as Chin fans like to say, a “look of astonishment.” The profuse mane around the neck and shoulders, the plumed tail arching over the back, and the pants or “culottes” on the hind legs project the elegant, exotic appearance so typical of Asia’s royal line of laptop cuddle bugs. The Japanese Chin is a charming toy companion of silky, profuse coat and an unmistakably aristocratic bearing. Often described as a distinctly “feline” breed, this bright and amusing lapdog is fastidious, graceful, and generally quiet.",20.32,27.94,3.17514659,4.9895160700000005,10.0,12.0,Toy Group
